"Rank","Player","Team","Position","Points","Games","Avg"
"1","Patrick Mahomes II","KC","QB","288.8","11","26.3"
"2","Josh Allen","BUF","QB","288.5","11","26.2"
"3","Jalen Hurts","PHI","QB","273.1","11","24.8"
"4","Austin Ekeler","LAC","RB","255.1","11","23.2"
"5","Joe Burrow","CIN","QB","252.2","11","22.9"
"6","Stefon Diggs","BUF","WR","249.0","11","22.6"
"7","Justin Jefferson","MIN","WR","244.8","11","22.3"
"8","Josh Jacobs","LV","RB","242.4","11","22.0"
"9","Lamar Jackson","BAL","QB","241.8","11","22.0"
"10","Travis Kelce","KC","TE","238.7","11","21.7"
"11","Tyreek Hill","MIA","WR","237.3","11","21.6"
"12","Justin Fields","CHI","QB","235.0","11","21.4"
"13","Davante Adams","LV","WR","230.8","11","21.0"
"14","Derrick Henry","TEN","RB","217.8","11","19.8"
"15","Christian McCaffrey","Multi","RB","210.7","11","19.2"
"16","Nick Chubb","CLE","RB","208.1","11","18.9"
"17","Geno Smith","SEA","QB","207.1","11","18.8"
"18","Kyler Murray","ARI","QB","206.9","10","20.7"
"19","Cooper Kupp","LAR","WR","201.4","9","22.4"
"20","Justin Herbert","LAC","QB","201.0","11","18.3"
"21","Saquon Barkley","NYG","RB","200.5","11","18.2"
"22","Marcus Mariota","ATL","QB","194.3","12","16.2"
"23","Trevor Lawrence","JAC","QB","192.1","11","17.5"
"24","Aaron Jones","GB","RB","191.5","12","16.0"
"25","Daniel Jones","NYG","QB","189.5","11","17.2"
"26","Jaylen Waddle","MIA","WR","188.0","11","17.1"
"27","Kirk Cousins","MIN","QB","186.3","11","16.9"
"28","Rhamondre Stevenson","NE","RB","183.9","11","16.7"
"29","Aaron Rodgers","GB","QB","182.6","12","15.2"
"30","CeeDee Lamb","DAL","WR","182.0","11","16.6"
"31","Derek Carr","LV","QB","181.8","11","16.5"
"32","Joe Mixon","CIN","RB","180.9","10","18.1"
"33","Tua Tagovailoa","MIA","QB","179.1","9","19.9"
"34","Amari Cooper","CLE","WR","177.2","11","16.1"
"35","Jacoby Brissett","CLE","QB","174.2","11","15.8"
"36","A.J. Brown","PHI","WR","174.1","11","15.8"
"37","Tom Brady","TB","QB","173.3","11","15.8"
"38","Jared Goff","DET","QB","171.9","11","15.6"
"39","Tony Pollard","DAL","RB","171.5","11","15.6"
"40","Christian Kirk","JAC","WR","169.2","11","15.4"
"41","Amon-Ra St. Brown","DET","WR","168.7","10","16.9"
"42","Jimmy Garoppolo","SF","QB","166.5","10","16.7"
"43","Dalvin Cook","MIN","RB","166.1","11","15.1"
"44","Jamaal Williams","DET","RB","164.1","11","14.9"
"45","Tee Higgins","CIN","WR","163.6","10","16.4"
"46","Tyler Lockett","SEA","WR","159.8","11","14.5"
"47","Miles Sanders","PHI","RB","159.0","11","14.5"
"48","Michael Pittman Jr.","IND","WR","157.9","11","14.4"
"49","Chris Olave","NO","WR","156.2","11","14.2"
"50","Leonard Fournette","TB","RB","155.7","10","15.6"
"51","Alvin Kamara","NO","RB","153.6","10","15.4"
"52","Terry McLaurin","WAS","WR","151.7","12","12.6"
"53","Brandon Aiyuk","SF","WR","150.9","11","13.7"
"54","Antonio Gibson","WAS","RB","148.2","12","12.4"
"55","DK Metcalf","SEA","WR","146.1","11","13.3"
"56","Kenneth Walker III","SEA","RB","145.9","10","14.6"
"57","Matt Ryan","IND","QB","144.9","10","14.5"
"58","Mark Andrews","BAL","TE","144.8","10","14.5"
"59","Dameon Pierce","HOU","RB","142.1","11","12.9"
"60","Ja'Marr Chase","CIN","WR","141.7","7","20.2"
"61","Russell Wilson","DEN","QB","140.7","10","14.1"
"62","Mike Evans","TB","WR","139.2","10","13.9"
"63","Travis Etienne Jr.","JAC","RB","139.0","11","12.6"
"64","Deebo Samuel","SF","WR","137.3","10","13.7"
"65","T.J. Hockenson","Multi","TE","136.7","11","12.4"
"66","Garrett Wilson","NYJ","WR","136.2","11","12.4"
"67","Najee Harris","PIT","RB","135.9","11","12.4"
"68","Curtis Samuel","WAS","WR","135.8","12","11.3"
"69","Andy Dalton","NO","QB","135.3","9","15.0"
"70","DJ Moore","CAR","WR","134.4","12","11.2"
"71","DeVonta Smith","PHI","WR","132.9","11","12.1"
"72","Chris Godwin","TB","WR","131.0","9","14.6"
"73","Jonathan Taylor","IND","RB","130.8","9","14.5"
"74","Adam Thielen","MIN","WR","129.3","11","11.8"
"75","Devin Singletary","BUF","RB","128.8","11","11.7"
"76","Gabe Davis","BUF","WR","128.0","10","12.8"
"77","Tyler Boyd","CIN","WR","127.4","11","11.6"
"78","Courtland Sutton","DEN","WR","127.3","11","11.6"
"79","Davis Mills","HOU","QB","126.7","10","12.7"
"80","Allen Lazard","GB","WR","125.3","10","12.5"
"81","Jeff Wilson Jr.","Multi","RB","124.6","11","11.3"
"82","DeAndre Hopkins","ARI","WR","124.4","6","20.7"
"83","Zay Jones","JAC","WR","124.3","10","12.4"
"83","JuJu Smith-Schuster","KC","WR","124.3","10","12.4"
"85","Ryan Tannehill","TEN","QB","123.7","9","13.7"
"86","Joshua Palmer","LAC","WR","123.6","10","12.4"
"87","Jakobi Meyers","NE","WR","121.0","9","13.4"
"88","New England Patriots","NE","DST","121.0","11","11.0"
"89","Marquise Brown","ARI","WR","120.1","7","17.2"
"90","James Conner","ARI","RB","119.7","9","13.3"
"91","David Montgomery","CHI","RB","118.8","11","10.8"
"92","Dallas Cowboys","DAL","DST","117.0","11","10.6"
"93","Matthew Stafford","LAR","QB","116.5","9","12.9"
"94","Zach Ertz","ARI","TE","115.6","10","11.6"
"95","Breece Hall","NYJ","RB","115.1","7","16.4"
"96","Justin Tucker","BAL","K","114.0","11","10.4"
"97","Dallas Goedert","PHI","TE","113.4","9","12.6"
"98","Tyler Bass","BUF","K","113.0","11","10.3"
"99","Parris Campbell","IND","WR","112.3","12","9.4"
"100","Ezekiel Elliott","DAL","RB","111.7","9","12.4"
"101","Mack Hollins","LV","WR","111.3","11","10.1"
"102","Diontae Johnson","PIT","WR","110.8","11","10.1"
"103","George Pickens","PIT","WR","109.4","11","10.0"
"104","Drake London","ATL","WR","108.8","12","9.1"
"105","Raheem Mostert","MIA","RB","107.2","10","10.7"
"106","Mike Williams","LAC","WR","107.0","8","13.4"
"106","Nick Folk","NE","K","107.0","11","9.7"
"108","Khalil Herbert","CHI","RB","106.5","10","10.7"
"109","Jason Myers","SEA","K","106.0","11","9.6"
"109","Daniel Carlson","LV","K","106.0","11","9.6"
"111","Kenny Pickett","PIT","QB","105.6","8","13.2"
"112","Donovan Peoples-Jones","CLE","WR","105.5","11","9.6"
"113","Pat Freiermuth","PIT","TE","105.1","10","10.5"
"114","Brett Maher","DAL","K","104.0","11","9.5"
"115","Michael Carter","NYJ","RB","103.9","11","9.5"
"116","D'Andre Swift","DET","RB","103.8","8","13.0"
